Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
"CAMPBELL'S CHUNKY Soups, Beef Rib Roast with Potatoes & Herbs Soup",44,7,65,11,General nutrition,Old age,Lunch,18.5,Underweight
Vegetarian fillets,290,27,36,1,General nutrition,All ages,Other,21.7,Normal weight
"Infant formula, with ARA and DHA, powder, PROSOBEE LIPIL, NEXT STEP, MEAD JOHNSON",480,38,26,11,General nutrition,All ages,Other,27.45,Overweight
"Succotash, raw, (corn and limas)",99,47,6,5,General nutrition,Old age,Other,18.5,Underweight
"Beef, fast fried, cooked, separable lean and fat, rump centre, imported, New Zealand",192,29,98,7,General nutrition,All ages,Other,18.5,Underweight
"Cookies, cake-type (includes trolley cakes), fudge",349,0,88,5,General nutrition,Adults,Other,21.7,Normal weight
"Infant formula, prepared from powder, with iron, PREGESTIMIL, MEAD JOHNSON",67,14,94,21,General nutrition,All ages,Other,18.5,Underweight
"Soup, condensed, canned, chicken with rice",68,19,74,9,General nutrition,Children,Lunch,18.5,Underweight
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",216,26,5,24,General nutrition,All ages,Other,21.7,Normal weight
"KFC, meat and skin with breading, Drumstick, EXTRA CRISPY, Fried Chicken",274,46,17,2,General nutrition,Children,Dinner,21.7,Normal weight
"Puddings, prepared with whole milk, regular, dry mix, chocolate",120,14,95,13,General nutrition,Old age,Other,18.5,Underweight
"Babyfood, strained, ham, meat",97,30,88,14,General nutrition,All ages,Dinner,18.5,Underweight
"Cereals ready-to-eat, KELLOGG'S CINNABON cereal, KELLOGG",410,16,80,3,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,27.45,Overweight
"Bread, frozen, commercially prepared, whole wheat, paratha",326,42,14,27,General nutrition,All ages,Other,21.7,Normal weight
"Chicken, batter, fried, cooked, meat and skin, drumstick, broilers or fryers",268,9,21,28,General nutrition,Adults,Dinner,21.7,Normal weight
"Turkey, raw, with added solution, meat only, from whole bird, wing",102,15,10,21,General nutrition,Children,Dinner,18.5,Underweight
Abomu (Corn and Cassava),420,12,65,15,High in carbs,moderate protein,Other,27.45,Overweight
"Game meat , raw, ground, bison",223,14,44,0,General nutrition,Children,Dinner,21.7,Normal weight
"Margarine-like spread, SMART BALANCE Light Buttery Spread",337,5,10,13,General nutrition,Old age,Other,21.7,Normal weight
"Cereals ready-to-eat, HONEY NUT CHEERIOS, GENERAL MILLS",376,7,33,24,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",884,9,63,9,General nutrition,Old age,Other,30.0,Obesity
Tamales (Navajo),153,12,54,4,General nutrition,Adults,Other,18.5,Underweight
"Lamb, raw, separable lean and fat, composite of trimmed retail cuts, frozen, imported, New Zealand",277,30,57,23,General nutrition,Adults,Other,21.7,Normal weight
"Veal, raw, separable lean only, sirloin",110,40,75,0,General nutrition,Adults,Other,18.5,Underweight
"SUPPER BAKES MEAL KITS, Herb Chicken with rice (chicken not included)",197,32,51,5,General nutrition,Old age,Dinner,18.5,Underweight
"Veal, raw, tongue, variety meats and by-products",131,43,67,21,General nutrition,Old age,Dinner,18.5,Underweight
"Cowpeas (blackeyes), without salt, drained, boiled, cooked, frozen, immature seeds",132,16,22,7,General nutrition,Old age,Other,18.5,Underweight
"Beans, liquid from stewed kidney beans",47,18,57,22,General nutrition,Adults,Other,18.5,Underweight
Okro Soup with Banku,380,12,55,10,High fiber,protein-rich,Lunch,21.7,Normal weight
"Winged beans, raw, immature seeds",49,29,25,14,General nutrition,Children,Other,18.5,Underweight
"Pork, raw, separable lean and fat, whole, loin, fresh",198,2,3,7,General nutrition,All ages,Other,18.5,Underweight
"Pork, roasted, canned, extra lean (approximately 4% fat), ham, cured",136,48,64,10,General nutrition,Old age,Other,18.5,Underweight
"Beef, raw, Aust. marble score 9, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",237,33,34,1,General nutrition,Adults,Dinner,21.7,Normal weight
"Cream, cultured, reduced fat, sour",135,10,72,12,General nutrition,Children,Other,18.5,Underweight
Octopus (Alaska Native),56,19,91,8,General nutrition,Children,Other,18.5,Underweight
"Salad dressing, fat-free, ranch dressing",119,18,45,26,General nutrition,Children,Lunch,18.5,Underweight
"Soymilk, unfortified, chocolate",63,30,0,3,General nutrition,Adults,Other,18.5,Underweight
"Babyfood, toddlers, mashed cheddar potatoes and broccoli",48,17,85,9,General nutrition,Adults,Other,18.5,Underweight
"Crackers, with cheese filling, sandwich, standard snack-type",477,42,13,26,General nutrition,All ages,Lunch,27.45,Overweight
"Ground turkey, raw, fat free",112,23,50,23,General nutrition,Children,Other,18.5,Underweight
"DIGIORNO Pizza, baked, frozen, rising crust, cheese topping",256,8,27,9,General nutrition,All ages,Other,21.7,Normal weight
"Candies, M&M's Peanut Chocolate Candies, MARS SNACKFOOD US",515,4,30,10,General nutrition,All ages,Snack,27.45,Overweight
"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",269,2,67,11,General nutrition,Old age,Other,21.7,Normal weight
"Thuringer, pork, beef, summer sausage, cervelat",362,24,20,26,General nutrition,Old age,Other,21.7,Normal weight
"Lamb, slow roasted, cooked, separable lean only, shank off, chump off, tunnel-boned leg, imported, New Zealand",159,36,48,8,General nutrition,Children,Other,18.5,Underweight
"Beef, raw, separable lean and fat, boneless, top loin steak/roast, loin, grass-fed, imported, Australian",199,3,67,23,General nutrition,Old age,Dinner,18.5,Underweight
"Cereals, dry, cherry pistachio, REAL MEDLEYS, oatmeal, QUAKER",394,7,74,5,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"KASHI, Roasted Garlic, H2H Woven Wheat Cracker",440,29,79,11,General nutrition,Children,Other,27.45,Overweight
"Cereals ready-to-eat, Raspberry, KELLOGG'S FROSTED MINI-WHEATS Touch of Fruit in the Middle",342,40,72,2,"Antioxidant boost, Immune support, Skin health",Adults,Breakfast,21.7,Normal weight
"CAMPBELL'S CHUNKY Soups, Baked Potato with Cheddar & Bacon Bits Soup",78,3,41,18,General nutrition,Children,Lunch,18.5,Underweight
"Beef, broiled, cooked, USDA select, trimmed to 0"" fat, separable lean and fat, mock tender steak, chuck",159,38,89,18,General nutrition,Old age,Dinner,18.5,Underweight
"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch",384,34,38,17,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Pork, roasted, heated, separable lean only, bone-in, shank, ham and water product, cured",132,42,56,15,General nutrition,Children,Other,18.5,Underweight
"Lima beans, raw, mature seeds, large",338,14,59,22,General nutrition,Children,Other,21.7,Normal weight
"Yogurt, lowfat, vanilla, Greek",95,0,59,10,General nutrition,Old age,Other,18.5,Underweight
"KASHI, Original 7-Grain Crackers, TLC",385,33,96,26,"Sustained energy, Digestive health, Blood sugar control",Adults,Other,21.7,Normal weight
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (shank and sirloin), leg, domestic",191,14,55,14,General nutrition,Old age,Other,18.5,Underweight
"CARRABBA'S ITALIAN GRILL, lasagne",191,16,50,10,General nutrition,Adults,Other,18.5,Underweight
"Fast foods, and ranch sauce, cheese, with lettuce, crispy chicken in tortilla",275,48,59,1,General nutrition,Old age,Dinner,21.7,Normal weight
"Falafel, home-prepared",333,20,51,28,General nutrition,Old age,Other,21.7,Normal weight
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",228,18,54,4,General nutrition,All ages,Other,21.7,Normal weight
"Snacks, unsalted, multigrain, brown rice, rice cakes",387,18,72,8,General nutrition,All ages,Snack,21.7,Normal weight
"Fish, raw, american, shad",197,38,61,9,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Bread, enriched (includes corn muffin mix), dry mix, cornbread",418,28,56,22,General nutrition,Old age,Other,27.45,Overweight
"KEEBLER, Sea Salt and Olive Oil Crackers, FLATBREAD CRISPS, TOWN HOUSE",443,11,89,12,General nutrition,All ages,Other,27.45,Overweight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak",216,22,37,1,General nutrition,Children,Dinner,21.7,Normal weight
"SILK Plus Omega-3 DHA, soymilk",45,21,12,28,General nutrition,All ages,Other,18.5,Underweight
"CHICK-FIL-A, chicken sandwich",249,1,54,6,General nutrition,Old age,Lunch,21.7,Normal weight
"Milk, lowfat, cultured, fluid, buttermilk",40,18,99,5,General nutrition,Adults,Other,18.5,Underweight
Braised Goat with Plantains,480,25,50,15,High protein,iron-rich,Breakfast,27.45,Overweight
"Turkey, roasted, with added solution, meat only, from whole bird, drumstick",158,49,79,5,General nutrition,Old age,Dinner,18.5,Underweight
HOUSE FOODS Premium Firm Tofu,85,36,66,2,General nutrition,Adults,Other,18.5,Underweight
"Cookies, commercially prepared, brownies",405,41,42,14,General nutrition,Old age,Other,27.45,Overweight
"Restaurant, hash browns, family style",197,27,39,2,General nutrition,Children,Other,18.5,Underweight
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",341,31,1,18,General nutrition,Children,Other,21.7,Normal weight
"Fast Food, thin crust, pepperoni topping, 14"" pizza, Pizza Chain",331,30,78,8,General nutrition,Old age,Other,21.7,Normal weight
"Turkey, deli cut, rotisserie, white",112,14,66,6,General nutrition,Old age,Other,18.5,Underweight
"Snacks, made with partially hydrogenated oil, regular (butter) flavor, microwave, popcorn",557,17,97,27,General nutrition,Children,Snack,27.45,Overweight
"Crackers, whole-wheat, matzo",351,40,79,17,General nutrition,All ages,Other,21.7,Normal weight
Hausa Koko with Hausa Koko Mix,300,5,50,10,Energy boost,promotes digestion,Other,21.7,Normal weight
"Peas, unprepared, frozen, green",77,17,21,18,General nutrition,Old age,Other,18.5,Underweight
"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, New England Clam Chowder",82,46,64,22,General nutrition,All ages,Other,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",221,5,81,3,General nutrition,All ages,Dinner,21.7,Normal weight
"Fish, dry heat, cooked, carp",162,32,17,19,"Brain development, Joint health, Mood improvement",Children,Dinner,18.5,Underweight
"Babyfood, strained, turkey, meat",111,48,54,14,General nutrition,Old age,Dinner,18.5,Underweight
"Cheese, muenster",368,48,55,3,General nutrition,All ages,Other,21.7,Normal weight
"SILK Unsweetened, soymilk",33,47,85,20,General nutrition,Children,Other,18.5,Underweight
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",162,36,8,21,General nutrition,Old age,Other,18.5,Underweight
"Ostrich, cooked, outside strip",156,42,15,20,General nutrition,Children,Other,18.5,Underweight
"GLUTINO, Milk Chocolate, Gluten Free Wafers",541,46,15,27,General nutrition,Adults,Other,27.45,Overweight
"Cereals, dry, peach almond, REAL MEDLEYS, oatmeal, QUAKER",387,21,67,6,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Fish, dry heat, cooked, spot",158,6,5,26,"Brain development, Joint health, Mood improvement",Children,Dinner,18.5,Underweight
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand",251,18,45,0,General nutrition,All ages,Other,21.7,Normal weight
"Danish pastry, enriched, cinnamon",403,24,94,21,General nutrition,Old age,Other,27.45,Overweight
"Seeds, dried, pumpkin and squash seed kernels",559,19,18,4,"Heart health, Weight management, Brain function",Children,Other,27.45,Overweight
"Ostrich, raw, outside leg",115,35,95,5,General nutrition,Children,Other,18.5,Underweight
"Beef, braised, cooked, separable lean and fat, flank, imported, New Zealand",208,27,97,9,General nutrition,All ages,Other,21.7,Normal weight
"Salad dressing, fat-free, italian dressing",47,35,99,20,General nutrition,Old age,Lunch,18.5,Underweight
"Infant Formula, ready-to-feed, GENTLE PLUS, GERBER GOOD START 2",66,17,87,22,General nutrition,All ages,Other,18.5,Underweight
"Bread, toasted (includes whole-grain), multi-grain",288,38,44,25,General nutrition,All ages,Breakfast,21.7,Normal weight
"Fish, raw (Alaska Native), sockeye (red), salmon",153,12,40,12,"Brain development, Joint health, Mood improvement",Children,Dinner,18.5,Underweight
"Soup, condensed, canned, cream of mushroom",79,49,86,6,General nutrition,Adults,Lunch,18.5,Underweight
"Nuts, peeled, raw, european, chestnuts",196,21,17,14,"Heart health, Weight management, Brain function",Adults,Snack,18.5,Underweight
"Cheese, gouda",356,0,36,11,General nutrition,Adults,Other,21.7,Normal weight
"Ice creams, All Natural Light French Chocolate, BREYERS",201,21,16,12,General nutrition,Adults,Other,21.7,Normal weight
"Mothbeans, without salt, boiled, cooked, mature seeds",117,38,12,18,General nutrition,All ages,Other,18.5,Underweight
"Cereals ready-to-eat, Frosted Mini SPOONERS, MALT-O-MEAL",354,33,5,20,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"KEEBLER, KEEBLER Chocolate Graham SELECTS",465,33,89,18,General nutrition,Children,Other,27.45,Overweight
"Cookies, sugar free, dry mix, brownies",426,26,44,4,General nutrition,Adults,Other,27.45,Overweight
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib",306,4,79,0,General nutrition,Children,Other,21.7,Normal weight
"Cereals ready-to-eat, plain, toasted, wheat germ",382,18,91,19,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",182,48,45,27,General nutrition,All ages,Dinner,18.5,Underweight
"FAMOUS AMOS, Chocolate Chip Pecan Cookies",519,22,78,10,General nutrition,Children,Other,27.45,Overweight
"Fish, smoked, mixed species, whitefish",108,35,89,19,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Crustaceans, made from surimi, imitation, mixed species, shrimp",101,49,44,12,General nutrition,Adults,Other,18.5,Underweight
"Pork, raw, separable lean only, whole, loin, fresh",143,17,73,9,General nutrition,Adults,Other,18.5,Underweight
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib",365,6,12,29,General nutrition,Children,Other,21.7,Normal weight
"Chicken, braised, cooked, with added solution, meat only, drumstick, dark meat",149,7,89,10,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",149,29,33,6,General nutrition,Old age,Dinner,18.5,Underweight
"Fish, dry heat, cooked, ocean, pout",102,28,69,24,"Brain development, Joint health, Mood improvement",Children,Dinner,18.5,Underweight
"Cowpeas, plain, canned, mature seeds, common (blackeyes, crowder, southern)",77,4,94,19,General nutrition,Adults,Other,18.5,Underweight
"Pasta, unenriched, dry",371,15,61,25,General nutrition,Old age,Dinner,21.7,Normal weight
"Ice creams, Chocolate Caramel, No Sugar Added, BREYERS",151,22,33,25,General nutrition,Old age,Other,18.5,Underweight
"Ostrich, raw, outside strip",120,20,86,29,General nutrition,Old age,Other,18.5,Underweight
"Formulated bar, SNICKERS MARATHON MULTIGRAIN CRUNCH BAR, MARS SNACKFOOD US",422,19,53,11,General nutrition,All ages,Snack,27.45,Overweight
"Onions, dehydrated flakes",349,24,57,20,General nutrition,Children,Other,21.7,Normal weight
"Cake, commercially prepared, boston cream pie",252,1,6,10,General nutrition,Old age,Other,21.7,Normal weight
"Pretzels, soft",338,47,30,25,General nutrition,Old age,Other,21.7,Normal weight
"Wheat flour, unenriched, bleached, 9% protein, white (industrial)",367,44,67,21,General nutrition,Adults,Other,21.7,Normal weight
"Salad dressing, regular, honey mustard",464,13,42,27,General nutrition,Children,Lunch,27.45,Overweight
"CAMPBELL'S CHUNKY Soups, Fajita Chicken with Rice & Beans Soup",53,48,14,24,General nutrition,All ages,Lunch,18.5,Underweight
"Cereals, with salt, cooked with water, whole wheat hot natural cereal",62,48,23,5,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,18.5,Underweight
