Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"Cereals ready-to-eat, HONEY NUT CLUSTERS, GENERAL MILLS",374,5,78,11,"B, E",Others,21.8,Normal weight,"Zinc, Calcium, Magnesium","Sustained energy, Digestive health, Blood sugar control",Old age,"Heart Disease, Pancreatitis"
"Sauce, ready to serve, mild, red, enchilada, OLD EL PASO",29,3,65,7,"A, B, D",Snacks,17.1,Underweight,"Calcium, Magnesium, Zinc",General nutrition,Old age,Zellweger Spectrum Disorder
"Beverages, 3-2-1 Plan, powder, SLIMFAST Shake Mix, UNILEVER",448,44,15,27,"E, D, B, C",Lunch,25.5,Overweight,Calcium,General nutrition,Old age,"Ulcers, Lung Cancer, COPD"
"Snacks, nut and raisin, uncoated, soft, granola bars",454,14,31,12,"D, B, E",Others,21.4,Normal weight,Zinc,General nutrition,All ages,"Gout, COPD, Anxiety"
"Soup, condensed, canned, cream of asparagus",69,4,35,25,"B, D, E",Snacks,21.2,Normal weight,"Magnesium, Calcium",General nutrition,Children,Angelman Syndrome
"Fast foods, large patty; with condiments, cheeseburger; double",272,21,67,14,"D, E, B",Breakfast,20.2,Normal weight,"Zinc, Iron",General nutrition,Children,Alzheimer's Disease
"Cereals, dry, WHEATENA",357,30,0,23,"C, D",Others,23.9,Normal weight,Calcium,"Sustained energy, Digestive health, Blood sugar control",Children,Schizophrenia
Vital wheat gluten,370,30,43,26,C,Breakfast,27.5,Overweight,Magnesium,General nutrition,Adults,"Glycogen Storage Disease, COPD, Lactose Intolerance"
"Cookies, enriched, higher fat, regular, commercially prepared, chocolate chip",492,16,64,15,"D, A",Lunch,28.7,Overweight,Magnesium,General nutrition,Adults,"Fabry Disease, High Cholesterol"
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, lip off, boneless, rib eye steak",208,23,42,16,"C, E",Breakfast,20.7,Normal weight,Iron,General nutrition,Old age,"Alzheimer's Disease, Asthma"
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), rib eye",249,9,81,21,"C, D",Others,29.9,Overweight,Calcium,General nutrition,Adults,"Hypertension, Hyperoxaluria"
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",132,4,68,0,"D, A, C",Snacks,16.1,Underweight,"Magnesium, Iron, Calcium",General nutrition,Children,Post-Traumatic Stress Disorder (PTSD)
"Cheesefurter, beef, pork, cheese smokie",328,28,74,13,"E, B, C, D",Breakfast,25.2,Overweight,"Magnesium, Zinc, Iron",General nutrition,Old age,Hemochromatosis
"Seeds, partially defatted, sunflower seed flour",326,47,23,27,"B, E, A",Others,28.5,Overweight,"Magnesium, Iron","Heart health, Weight management, Brain function",All ages,Angelman Syndrome
"Beef, broiled, cooked, choice, trimmed to 1/8""fat, separable lean only, small end (ribs 10-12), rib",202,31,83,0,E,Breakfast,23.4,Normal weight,Magnesium,General nutrition,All ages,Mucopolysaccharidosis
"Infant formula, ready-to-feed, with iron, SIMILAC, ABBOTT NUTRITION",65,10,28,7,A,Snacks,16.0,Underweight,"Zinc, Magnesium, Calcium",General nutrition,Children,"Multiple Sclerosis, Hemophilia"
"Chicken, raw, giblets, capons",130,8,17,1,"C, A, B, D",Snacks,18.0,Underweight,"Zinc, Iron",General nutrition,Children,Pancreatitis
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",190,4,28,19,"C, B, E, D",Snacks,19.9,Normal weight,Iron,General nutrition,Old age,Hypoglycemia
"Cheese spread, cream cheese base",295,7,49,13,"D, E, A, C",Others,23.8,Normal weight,"Iron, Magnesium, Zinc",General nutrition,Adults,"Attention Deficit Hyperactivity Disorder (ADHD), Pancreatitis"
"Cookies, regular, commercially prepared, oatmeal",450,34,38,18,"B, A, C, D",Lunch,27.9,Overweight,Calcium,General nutrition,Old age,"Ornithine Transcarbamylase Deficiency, Post-Traumatic Stress Disorder (PTSD), Cystinosis"
"CAMPBELL'S Red and White, condensed, French Onion Soup",36,18,81,26,"C, D, E",Snacks,28.9,Overweight,"Iron, Zinc, Magnesium",General nutrition,Children,Autism Spectrum Disorder
"Bread, toasted, wheat germ",293,35,32,23,"C, B",Others,29.1,Overweight,"Iron, Magnesium, Calcium",General nutrition,Children,"Bipolar Disorder, Polycystic Ovary Syndrome (PCOS)"
"Soup, ready-to-serve, chunky, canned, minestrone",53,42,82,10,"B, C, D, A",Snacks,28.9,Overweight,"Calcium, Zinc",General nutrition,Adults,"Food Allergies, Breast Cancer"
"Mushrooms, raw, white",22,36,10,26,"E, C",Snacks,21.0,Normal weight,"Zinc, Magnesium",General nutrition,Children,Binge Eating Disorder
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, top round, round",190,7,84,6,"E, A",Snacks,21.7,Normal weight,"Calcium, Magnesium",General nutrition,Old age,"Kidney Disease, Hyperthyroidism"
"Infant formula, ready-to-feed, ADVANCE with iron, ISOMIL, SIMILAC, ABBOTT NUTRITION",66,15,43,7,E,Snacks,22.4,Normal weight,"Iron, Magnesium, Zinc",General nutrition,Old age,Thyroid Disorders
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",162,15,47,21,"C, A, D",Snacks,24.7,Normal weight,Calcium,General nutrition,All ages,"Neurofibromatosis, Gaucher's Disease"
"Oil, grapeseed",884,18,18,16,"D, B",Others,26.0,Overweight,"Iron, Zinc, Magnesium",General nutrition,Old age,"Hypothyroidism, HIV/AIDS, Cataracts"
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, bottom, leg, fresh, imported, Australian",219,27,39,4,"A, B",Breakfast,19.7,Normal weight,"Iron, Calcium, Magnesium",General nutrition,Adults,"Congenital Heart Disease, Ehlers-Danlos Syndrome"
"TACO BELL, Soft Taco with steak",225,49,99,15,C,Breakfast,25.6,Overweight,"Magnesium, Iron",General nutrition,Old age,"Ovarian Cancer, Inflammatory Bowel Disease"
"MURRAY, Vanilla Wafer, SUGAR FREE",412,35,78,0,A,Lunch,22.3,Normal weight,Calcium,General nutrition,All ages,"Post-Traumatic Stress Disorder (PTSD), Dementia"
"Lamb, raw, separable lean and fat, rack - fully frenched, imported, New Zealand",169,4,55,2,E,Snacks,16.5,Underweight,Calcium,General nutrition,Children,Encephalitis
"Pork, roasted, cooked, separable lean only, tenderloin, loin, fresh",143,9,24,22,"D, A",Snacks,19.2,Normal weight,"Iron, Magnesium, Calcium",General nutrition,Children,"Post-Traumatic Stress Disorder (PTSD), Macular Degeneration"
"Fish, raw, swordfish",144,33,52,15,"C, D",Snacks,18.7,Normal weight,Iron,"Brain development, Joint health, Mood improvement",All ages,"Addison's Disease, Psoriasis"
"Infant formula, ready- to- feed with ARA and DHA, Diarrhea, Expert Care, SIMILAC, ABBOTT NUTRITION",66,47,35,26,"E, C, A",Snacks,26.4,Overweight,"Calcium, Magnesium, Zinc",General nutrition,All ages,"Hypothyroidism, Cushing's Syndrome"
"Ham, canned, chopped",239,32,34,11,"D, C",Breakfast,23.3,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,All ages,Wilson's Disease
"Restaurant, chicken parmesan without pasta, Italian",204,10,96,13,"A, C, E, D",Others,20.2,Normal weight,Calcium,General nutrition,Old age,"Ehlers-Danlos Syndrome, Chronic Pain"
"Pork, roasted, separable lean and fat, arm picnic, shoulder, cured",280,22,17,23,"E, D, C, A",Others,24.6,Normal weight,Calcium,General nutrition,All ages,"Alkaptonuria, GERD"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast or steak, chuck",140,12,75,4,"C, D, A",Snacks,22.4,Normal weight,"Iron, Calcium, Magnesium",General nutrition,Old age,"Addison's Disease, Chronic Fatigue Syndrome, Neurofibromatosis"
"Snacks, cheese-flavor, popcorn",526,25,68,0,"B, A",Lunch,24.6,Normal weight,"Calcium, Zinc",General nutrition,Children,Heart Disease
"Babyfood, Real Fruit Bars, GERBER GRADUATE FRUIT STRIPS, snack",330,13,17,5,"B, C, A",Breakfast,16.2,Underweight,"Magnesium, Zinc","Antioxidant boost, Immune support, Skin health",All ages,"Parkinson's Disease, Fabry Disease"
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, arm, shoulder, fresh, imported, Australian",243,37,21,4,"C, E, B, D",Others,20.3,Normal weight,Iron,General nutrition,Children,Gout
"Cereals ready-to-eat, touch of brown sugar, SPECIAL K gluten free, KELLOGG'S",369,16,88,10,"C, A",Breakfast,19.4,Normal weight,Zinc,"Sustained energy, Digestive health, Blood sugar control",Children,"Zellweger Spectrum Disorder, Thalassemia"
"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, steak, top loin, short loin",281,36,64,28,"E, B, D, A",Breakfast,25.1,Overweight,"Iron, Zinc",General nutrition,All ages,Scleroderma
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), rib",312,3,24,21,"B, D, A, E",Others,23.0,Normal weight,"Zinc, Iron",General nutrition,Adults,"Sickle Cell Anemia, Neurofibromatosis"
"MOTHER'S, Coconut Cocadas Cookies",500,4,59,11,C,Others,18.6,Normal weight,Zinc,General nutrition,All ages,Bipolar Disorder
"Kale, with salt, drained, boiled, cooked, frozen",30,20,15,7,"E, C",Snacks,17.2,Underweight,"Magnesium, Zinc, Calcium",General nutrition,All ages,"Liver Disease, Eczema"
"Lima beans, unprepared, baby, frozen, immature seeds",132,40,89,9,"B, D",Snacks,25.1,Overweight,"Zinc, Calcium",General nutrition,Children,"Ovarian Cancer, Prostate Cancer"
"McDONALD'S, Baked Apple Pie",323,45,59,15,"D, E, C",Breakfast,28.3,Overweight,"Zinc, Magnesium",General nutrition,Children,"Thyroid Disorders, Sickle Cell Anemia, Osteoporosis"
"Strudel, apple",274,33,80,20,"A, C, E",Breakfast,25.2,Overweight,"Zinc, Calcium, Magnesium",General nutrition,Adults,"Hyperthyroidism, Prostate Cancer"
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, round",223,40,71,23,A,Breakfast,27.9,Overweight,Calcium,General nutrition,Adults,Cancer
"Margarine, with added vitamin D, with salt, stick, composite, 80% fat, regular",717,22,36,5,"D, E, B, A",Dinner,24.5,Normal weight,Calcium,General nutrition,Children,Asthma
"KASHI, Country Cheddar Crackers, TLC",445,20,57,3,B,Lunch,24.2,Normal weight,"Zinc, Iron",General nutrition,All ages,Hypothyroidism
Ampesi with Garden Egg Sauce,350,10,60,10,E,Others,22.4,Normal weight,Zinc,High protein,rich in vitamins,General
"Beans, without salt, boiled, cooked, mature seeds, small white",142,22,12,21,B,Snacks,23.5,Normal weight,"Calcium, Magnesium, Zinc",General nutrition,Adults,"Pelvic Inflammatory Disease, Mucopolysaccharidosis, Heart Disease"
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, t-bone steak, short loin",247,41,13,8,D,Others,18.7,Normal weight,"Calcium, Iron",General nutrition,All ages,"Autism Spectrum Disorder, Lung Cancer, Sickle Cell Anemia"
"Corn, no salt added, vacuum pack, canned, yellow, sweet",79,41,7,27,E,Snacks,24.6,Normal weight,"Iron, Calcium",General nutrition,Old age,"Post-Traumatic Stress Disorder (PTSD), Schizophrenia"
"Cake, dry mix, enriched, white, pudding-type",423,34,71,26,"C, D",Lunch,27.9,Overweight,Magnesium,General nutrition,Children,Prostate Cancer
"CAMPBELL'S Red and White - Microwaveable Bowls, Creamy Tomato Soup",64,19,7,10,"B, A, D, C",Snacks,17.1,Underweight,"Magnesium, Zinc",General nutrition,Adults,"Gout, Food Allergies, Cushing's Syndrome"
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, roast, eye of round, round",166,32,81,3,"B, D, C, A",Snacks,20.6,Normal weight,"Zinc, Iron",General nutrition,Old age,"Prostate Cancer, Acromegaly"
Acheke with Grilled Tilapia,420,20,50,15,B,Lunch,20.9,Normal weight,Calcium,High protein,omega-3 from fish,Adults
"Luncheon meat, includes SPAM Lite, canned, minced, pork and chicken",196,42,65,17,"A, D, C, E",Snacks,26.0,Overweight,"Zinc, Calcium",General nutrition,Old age,"Seizure Disorders, Anorexia Nervosa"
"Lentils, without salt, boiled, cooked, mature seeds",116,14,99,15,"E, C, D",Snacks,23.9,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,Children,"Zellweger Spectrum Disorder, Crohn's Disease"
"Cheese, fortified with vitamin D, American, pasteurized process",366,32,47,27,"B, D, A",Breakfast,29.4,Overweight,"Iron, Zinc, Magnesium",General nutrition,Adults,"Angelman Syndrome, Systemic Lupus Erythematosus, Rett Syndrome"
"Soup, dry, any flavor, ramen noodle",440,11,50,20,"D, E, C, B",Others,20.2,Normal weight,"Iron, Calcium",General nutrition,Children,Cushing's Syndrome
fried Yam with Shito,420,10,70,18,C,Others,22.0,Normal weight,Zinc,High energy,moderate protein,General
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",143,39,32,21,B,Snacks,26.9,Overweight,Calcium,General nutrition,Children,"Hyperthyroidism, Osteoporosis, Hypoglycemia"
"USDA Commodity, Flour Mix Low-fat, Bakery",361,30,63,28,"C, A",Breakfast,27.2,Overweight,"Zinc, Iron",General nutrition,All ages,Thalassemia
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",160,15,6,15,"D, B",Snacks,20.9,Normal weight,Magnesium,General nutrition,All ages,"Rett Syndrome, Binge Eating Disorder, Zellweger Spectrum Disorder"
"Peppers, raw, jalapeno",29,0,54,5,"E, D, A, C",Snacks,16.7,Underweight,Iron,General nutrition,Children,"Alzheimer's Disease, Thyroid Disorders"
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, t-bone steak, short loin",215,36,39,17,"E, B, A",Breakfast,18.9,Normal weight,"Zinc, Iron, Calcium",General nutrition,All ages,Wilson's Disease
"CAMPBELL'S Red and White, condensed, Cream of Broccoli Soup",73,7,21,16,C,Snacks,16.7,Underweight,"Calcium, Iron, Magnesium",General nutrition,All ages,"Lung Cancer, Prostate Cancer"
"Bamboo shoots, without salt, drained, boiled, cooked",12,5,39,24,"E, D, B",Snacks,23.0,Normal weight,Iron,General nutrition,All ages,"Thalassemia, HIV/AIDS"
"Figs, stewed, dried",107,28,0,7,E,Snacks,16.6,Underweight,Zinc,General nutrition,All ages,"Chronic Pain, Multiple Sclerosis, Canavan Disease"
"Bison, raw, grass-fed, ground",146,1,60,0,"B, D, A",Snacks,16.6,Underweight,"Zinc, Magnesium",General nutrition,All ages,"Bulimia Nervosa, Epilepsy, Pancreatitis"
"Beef, raw, ground, grass-fed",198,33,27,26,"E, D, A, B",Snacks,27.7,Overweight,"Calcium, Iron, Zinc",General nutrition,Children,"Thyroid Disorders, High Cholesterol, Fibromyalgia"
"T.G.I. FRIDAY'S, french fries",296,45,63,21,"E, D, B",Breakfast,29.6,Overweight,"Iron, Magnesium, Zinc",General nutrition,Adults,"Fabry Disease, Gout"
"Fish, pickled, Atlantic, herring",262,45,93,28,D,Breakfast,33.1,Obesity,"Zinc, Magnesium","Brain development, Joint health, Mood improvement",Children,"Hemophilia, Congenital Heart Disease"
"KEEBLER, Chocolate Graham Cookies, Mint Creme Middles, FUDGE SHOPPE",516,47,75,24,"B, D, C, E",Lunch,39.1,Obesity,"Zinc, Calcium, Iron",General nutrition,Old age,"Ulcerative Colitis, Anxiety"
"Bagels, toasted, cinnamon-raisin",294,46,55,16,"C, D, E",Breakfast,25.7,Overweight,"Zinc, Calcium",General nutrition,Old age,Ovarian Cancer
"Salami, pork, dry or hard",407,15,55,18,"E, D",Others,20.0,Normal weight,"Magnesium, Zinc",General nutrition,Children,"Thalassemia, Malnutrition, Alzheimer's Disease"
"Game meat, broiled, cooked, 1"" steak, separable lean only, top round, deer",152,12,6,6,"E, B, A",Snacks,16.6,Underweight,"Zinc, Iron, Magnesium",General nutrition,Children,"Multiple Sclerosis, Hemophilia"
"Veal, raw, separable lean only, bone-in, fore, shank, Australian",123,14,84,12,"B, D",Snacks,23.8,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,Old age,"Tay-Sachs Disease, Hypothyroidism"
"Veal, raw, ground",197,30,29,29,"C, B, D",Snacks,25.5,Overweight,Magnesium,General nutrition,All ages,"Anorexia Nervosa, Hemochromatosis, Systemic Lupus Erythematosus"
"McDONALD'S, Egg & Cheese McGRIDDLES, Bacon",272,12,25,22,"B, E",Others,24.3,Normal weight,Iron,General nutrition,Children,"Parkinson's Disease, Cancer"
"Babyfood, junior, turkey sticks, meat",188,14,66,11,"D, B",Snacks,23.7,Normal weight,Calcium,General nutrition,Adults,"Tay-Sachs Disease, Glaucoma"
"Fish, raw, walleye, pike",93,13,2,23,"E, C, D, B",Snacks,18.6,Normal weight,Zinc,"Brain development, Joint health, Mood improvement",Children,"Sleep Apnea, Arthritis"
"Crackers, LA MODERNA RIKIS CREAM CRACKERS, cream",464,20,49,17,D,Lunch,29.7,Overweight,"Calcium, Magnesium",General nutrition,Adults,"Seizure Disorders, Leigh Syndrome, Chronic Fatigue Syndrome"
"APPLEBEE'S, Double Crunch Shrimp",323,41,16,7,D,Others,22.6,Normal weight,Iron,General nutrition,Old age,"Food Allergies, Neurofibromatosis"
"Game meat, braised, cooked, separable lean only, shoulder clod, deer",191,46,83,19,"C, E, B",Snacks,25.6,Overweight,"Zinc, Iron",General nutrition,Old age,"Ulcerative Colitis, Binge Eating Disorder"
"Nuts, canned (liquid expressed from grated meat and water), coconut milk",197,40,18,25,A,Snacks,28.3,Overweight,"Zinc, Magnesium, Iron","Heart health, Weight management, Brain function",Children,"Acromegaly, None, Encephalitis"
"Salad dressing, russian dressing",355,11,69,19,"B, A, C, D",Others,22.2,Normal weight,"Zinc, Calcium, Magnesium",General nutrition,Children,Zellweger Spectrum Disorder
"Pork, unheated, separable lean and fat, bone-in, rump, ham, cured",176,43,83,9,C,Snacks,26.9,Overweight,Calcium,General nutrition,Old age,"Skin Cancer, Scleroderma, Chronic Pain"
"Snacks, plain, bagel chips",451,26,18,13,"E, A, B, D",Lunch,20.3,Normal weight,Magnesium,General nutrition,Adults,"Prostate Cancer, Gallstones, Encephalitis"
"Soup, single brand, condensed, canned, cream of chicken",99,42,81,5,"E, D",Snacks,20.5,Normal weight,"Calcium, Iron",General nutrition,Adults,Macular Degeneration
"Lima beans, without salt, boiled, cooked, mature seeds, large",115,40,24,20,A,Snacks,24.5,Normal weight,"Magnesium, Iron",General nutrition,Children,"Prostate Cancer, Wilson's Disease, Myeloma"
"Fast foods, with condiments and vegetables, large patty, cheeseburger; double",273,42,99,29,"B, C, D",Breakfast,30.4,Obesity,"Zinc, Iron, Calcium",General nutrition,Old age,Dementia
"Cereals ready-to-eat, Oat Flakes & Blueberry Clusters, HEART TO HEART, KASHI",376,9,96,1,"E, B, C, A",Breakfast,18.8,Normal weight,Magnesium,"Sustained energy, Digestive health, Blood sugar control",Adults,"Anemia, Menopause"
"Mushrooms, raw, oyster",33,9,68,5,C,Snacks,23.2,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Adults,Raynaud's Disease
"Lamb, braised, cooked, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand",357,16,42,20,"D, E",Others,24.4,Normal weight,"Calcium, Magnesium",General nutrition,Children,"Skin Cancer, Acromegaly"
"Cereals ready-to-eat, Multi-Grain CHEERIOS, GENERAL MILLS",370,33,30,23,"C, E, B, D",Others,29.0,Overweight,"Zinc, Calcium","Sustained energy, Digestive health, Blood sugar control",All ages,Lymphoma
"Candies, TWIZZLERS NIBS CHERRY BITS",347,16,12,10,"D, A, E, C",Others,21.2,Normal weight,Calcium,General nutrition,Children,"Mucopolysaccharidosis, Glycogen Storage Disease"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",141,17,50,26,"D, B, A, C",Snacks,21.4,Normal weight,"Iron, Calcium, Magnesium",General nutrition,Old age,"Mucopolysaccharidosis, Malnutrition, GERD"
