food_name,serving_size (g),calories (kcal),protein (g),carbohydrates (g),fats(g),vitamins,minerals,health_benefits,suitable_age_group,health_condition_considerations
"CONTINENTAL MILLS, dry, Artificially Flavored, KRUSTEAZ Almond Poppyseed Muffin Mix",100.0,418.0,23.0,75.0,21.0,"A, C, E, D","Magnesium, Zinc",General nutrition,Children,Encephalitis
"Cheese, low sodium, cheddar or American, pasteurized process",100.0,376.0,0.0,31.0,13.0,"D, B, A","Zinc, Magnesium, Calcium",General nutrition,Children,Lymphoma
"MORNINGSTAR FARMS Grillers Prime, unprepared, frozen",100.0,238.0,9.0,14.0,15.0,"C, E, B, D","Zinc, Magnesium",General nutrition,All ages,"Hemochromatosis, Celiac Disease, Alzheimer's Disease"
"Fish, brined (Alaska Native), smoked, chinook, king, salmon",100.0,430.0,7.0,92.0,13.0,"A, B, E, D",Calcium,"Brain development, Joint health, Mood improvement",Adults,"Arthritis, Parkinson's Disease, Chronic Fatigue Syndrome"
"Tennis Bread, plain (Apache)",100.0,258.0,34.0,53.0,7.0,D,Magnesium,General nutrition,Adults,Diverticulitis
"Soy flour, defatted",100.0,327.0,21.0,36.0,18.0,"A, C, E","Zinc, Calcium",General nutrition,Adults,"Menopause, Cystinosis, COPD"
"Pork, broiled, cooked, separable lean only, boston (steaks), blade, shoulder, fresh",100.0,227.0,37.0,94.0,1.0,"B, A, D","Calcium, Iron",General nutrition,Children,"Anemia, Ulcers"
"Cereals ready-to-eat, Big Bite, KELLOGG'S FROSTED MINI-WHEATS",100.0,350.0,29.0,24.0,4.0,"B, E, A","Magnesium, Zinc","Sustained energy, Digestive health, Blood sugar control",Children,"Lactose Intolerance, Macular Degeneration, Addison's Disease"
"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",100.0,170.0,2.0,7.0,9.0,B,"Calcium, Magnesium, Zinc",General nutrition,Adults,"Lymphoma, Irritable Bowel Syndrome, Sepsis"
"Corn, yellow (Northern Plains Indians), dried",100.0,419.0,26.0,30.0,28.0,"C, D, A, E","Calcium, Magnesium",General nutrition,Old age,"Eczema, Hypertension"
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, boneless, bottom, leg, fresh, imported, Australian",100.0,136.0,31.0,10.0,3.0,"D, B, E, A","Iron, Zinc",General nutrition,All ages,Kidney Disease
"KFC, skin and breading removed, meat only, Breast, EXTRA CRISPY, Fried Chicken",100.0,153.0,17.0,96.0,27.0,"D, C","Zinc, Calcium",General nutrition,Adults,"Hyperglycemia, Ulcerative Colitis"
"Grape leaves, raw",100.0,93.0,46.0,11.0,1.0,"A, C",Zinc,General nutrition,Children,Diabetes
"Fish, raw, lingcod",100.0,85.0,4.0,9.0,14.0,"E, A","Calcium, Iron, Magnesium","Brain development, Joint health, Mood improvement",Children,Eczema
"Cereals ready-to-eat, cinnamon, Oatmeal Squares, QUAKER",100.0,379.0,45.0,42.0,4.0,"E, C, D, A","Magnesium, Calcium, Iron","Sustained energy, Digestive health, Blood sugar control",Adults,"Bulimia Nervosa, Galactosemia"
"Veal, raw, separable lean only, bone-in, hind, shank, Australian",100.0,122.0,28.0,4.0,11.0,"C, E, D","Zinc, Magnesium, Calcium",General nutrition,Adults,Marfan Syndrome
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",100.0,215.0,34.0,50.0,9.0,"E, B",Calcium,General nutrition,Adults,"Fabry Disease, Leukemia"
"Cereals ready-to-eat, KASHI INDIGO MORNING",100.0,364.0,24.0,10.0,4.0,"C, B",Zinc,"Sustained energy, Digestive health, Blood sugar control",Old age,"Mucopolysaccharidosis, Prostate Cancer"
"Crackers, egg and onion, matzo",100.0,391.0,29.0,33.0,9.0,"A, E, D",Zinc,General nutrition,Adults,Hemochromatosis
"Emu, broiled, cooked, fan fillet",100.0,154.0,31.0,88.0,4.0,"A, C","Magnesium, Calcium",General nutrition,Old age,"Meningitis, Sjogren's Syndrome, Neurofibromatosis"
"Soymilk, vitamins A and D, with added calcium, chocolate",100.0,63.0,0.0,94.0,8.0,"E, B, A","Zinc, Iron",General nutrition,Old age,Tuberculosis
"Ostrich, cooked, inside leg",100.0,141.0,6.0,97.0,6.0,"D, A, C","Calcium, Iron, Magnesium",General nutrition,Old age,"Galactosemia, Cushing's Syndrome"
"Lamb, fast roasted, cooked, separable lean and fat, boneless, loin, imported, New Zealand",100.0,157.0,11.0,66.0,28.0,"E, C, D",Iron,General nutrition,All ages,HIV/AIDS
"Soup, reduced sodium, condensed, canned, cream of mushroom",100.0,52.0,37.0,80.0,9.0,"C, A","Calcium, Iron, Magnesium",General nutrition,All ages,"Marfan Syndrome, Prader-Willi Syndrome, Autism Spectrum Disorder"
"Fast foods, regular patty; double decker bun with condiments and special sauce, cheeseburger; double",100.0,261.0,26.0,31.0,17.0,E,"Iron, Calcium",General nutrition,Adults,HIV/AIDS
"Fruit butters, apple",100.0,173.0,39.0,34.0,3.0,"A, E",Zinc,"Antioxidant boost, Immune support, Skin health",Old age,"Leigh Syndrome, Binge Eating Disorder, Epilepsy"
"Spices, dill seed",100.0,305.0,47.0,71.0,9.0,E,Iron,General nutrition,Old age,"Obesity, Malnutrition, Gout"
"Lamb, raw, choice, trimmed to 1/8"" fat, separable lean and fat, rib, domestic",100.0,342.0,10.0,13.0,9.0,"E, B, D",Iron,General nutrition,Adults,"Celiac Disease, Leigh Syndrome, Breast Cancer"
"Toaster Pastries, Frosted brown sugar cinnamon, KELLOGG'S LOW FAT POP TARTS, KELLOGG",100.0,366.0,38.0,98.0,24.0,"A, E","Iron, Zinc, Magnesium",General nutrition,Old age,Arthritis
"English muffins, wheat",100.0,223.0,22.0,79.0,29.0,E,"Calcium, Magnesium, Iron",General nutrition,Adults,"Fabry Disease, Prostate Cancer"
"Cornmeal, yellow, unenriched, degermed",100.0,370.0,24.0,30.0,20.0,E,Iron,General nutrition,All ages,"Hepatitis, Diabetes"
"Beef macaroni with tomato sauce, reduced fat, frozen entree",100.0,113.0,24.0,4.0,29.0,A,"Calcium, Zinc, Magnesium",General nutrition,Adults,"Alkaptonuria, Gaucher's Disease, Glaucoma"
"Radishes, with salt, drained, boiled, cooked, oriental",100.0,17.0,18.0,17.0,13.0,"A, D, C, E","Magnesium, Zinc",General nutrition,Children,Autism Spectrum Disorder
"Pork, pan-broiled, cooked, separable lean and fat, boneless, center loin (chops), loin, fresh",100.0,229.0,46.0,62.0,0.0,"E, C","Zinc, Calcium, Iron",General nutrition,Adults,"Tuberculosis, Parkinson's Disease"
"MORNINGSTAR FARMS Spicy Indian Veggie Burger, unprepared, frozen",100.0,189.0,12.0,83.0,6.0,"B, E","Iron, Zinc",General nutrition,Adults,Congenital Heart Disease
"Snacks, CHEWY TRAIL MIX, NATURE VALLEY, GENERAL MILLS, granola bar",100.0,415.0,1.0,25.0,26.0,E,"Magnesium, Zinc",General nutrition,Adults,"Crohn's Disease, Alkaptonuria, Thyroid Disorders"
"Winged beans, without salt, boiled, cooked, mature seeds",100.0,147.0,4.0,2.0,8.0,"E, D","Magnesium, Calcium, Zinc",General nutrition,All ages,"Malnutrition, Anemia"
"Lamb, raw, separable lean only, tenderloin, imported, New Zealand",100.0,116.0,37.0,36.0,20.0,"D, C",Iron,General nutrition,Old age,"Arthritis, Diabetes, Sepsis"
"Fast Food, thin crust, sausage topping, 14"" pizza, Pizza Chain",100.0,321.0,3.0,35.0,16.0,"D, A, C",Zinc,General nutrition,Children,"Leigh Syndrome, Hyperoxaluria, Sickle Cell Anemia"
"Chicken, stewed, cooked, meat and skin, light meat, broilers or fryers",100.0,201.0,34.0,69.0,5.0,B,"Calcium, Magnesium",General nutrition,Children,"Lung Cancer, Autism Spectrum Disorder, Systemic Lupus Erythematosus"
"Snacks, salted, pita chips",100.0,457.0,18.0,11.0,25.0,B,Magnesium,General nutrition,Children,"Food Allergies, COPD"
"Babyfood, baked whole grain corn snack, LIL CRUNCHIES, GRADUATES, GERBER, Snack",100.0,503.0,26.0,19.0,25.0,"D, C","Calcium, Zinc, Magnesium",General nutrition,All ages,"Sleep Apnea, Crohn's Disease, Polycystic Ovary Syndrome (PCOS)"
"Wheat flour, calcium-fortified, enriched, all-purpose, white",100.0,364.0,22.0,22.0,15.0,"A, B, E, C",Magnesium,General nutrition,Adults,"Hyperoxaluria, Neurofibromatosis, Maple Syrup Urine Disease"
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",100.0,172.0,14.0,13.0,27.0,"A, E, B, D",Zinc,General nutrition,Old age,"Thalassemia, Rett Syndrome"
"Cereals ready-to-eat, Cap'n Crunch's OOPS! All Berries Cereal, QUAKER",100.0,395.0,41.0,2.0,23.0,"C, B",Magnesium,"Sustained energy, Digestive health, Blood sugar control",Adults,GERD
"Beans, with salt, drained, boiled, cooked, yellow, snap",100.0,35.0,17.0,10.0,27.0,"D, A, B, E","Iron, Magnesium",General nutrition,All ages,Prader-Willi Syndrome
"Restaurant, spaghetti with meat sauce, Italian",100.0,121.0,37.0,62.0,9.0,"C, E, D, A",Zinc,General nutrition,Old age,"Addison's Disease, Chronic Pain, Zellweger Spectrum Disorder"
"Seeds, without salt, toasted, sunflower seed kernels",100.0,619.0,1.0,25.0,2.0,"B, A, D","Iron, Calcium","Heart health, Weight management, Brain function",Children,"Binge Eating Disorder, Depression"
"MORNINGSTAR FARMS Asian Veggie Patties, unprepared, frozen",100.0,158.0,39.0,95.0,16.0,"E, C, B, D","Iron, Magnesium, Calcium",General nutrition,Children,Hepatitis
"Cheese, fat free, cream",100.0,105.0,13.0,91.0,8.0,"B, A, D","Zinc, Calcium",General nutrition,Children,"Cushing's Syndrome, Leukemia"
"Puddings, prepared with whole milk, instant, dry mix, chocolate",100.0,111.0,8.0,40.0,20.0,C,Iron,General nutrition,Adults,"Ulcers, Lymphoma"
"Cereals ready-to-eat, fortified, puffed, rice",100.0,402.0,15.0,73.0,26.0,"C, B","Magnesium, Calcium, Zinc","Sustained energy, Digestive health, Blood sugar control",All ages,"Gaucher's Disease, Post-Traumatic Stress Disorder (PTSD)"
"Bread, frozen, commercially prepared, whole wheat, chapati or roti",100.0,299.0,30.0,25.0,22.0,C,Zinc,General nutrition,Old age,Ornithine Transcarbamylase Deficiency
"Dove, cooked (includes squab)",100.0,213.0,33.0,48.0,23.0,E,Zinc,General nutrition,Old age,Obesity
"KEEBLER, Pecan Shortbread Cookies, SANDIES",100.0,541.0,42.0,31.0,4.0,D,"Zinc, Magnesium, Calcium",General nutrition,Old age,"Bipolar Disorder, Asthma"
"Corn grain, white",100.0,365.0,19.0,80.0,10.0,"D, C, B, E",Iron,General nutrition,Old age,"Sjogren's Syndrome, None, Alzheimer's Disease"
"Nuts, without salt added, with peanuts, oil roasted, mixed nuts",100.0,607.0,7.0,11.0,1.0,"C, E, A, D","Magnesium, Zinc, Iron","Heart health, Weight management, Brain function",Old age,Fabry Disease
"Chicken, original seasoning, rotisserie, cooked, meat only, thigh, broilers or fryers",100.0,196.0,40.0,20.0,10.0,"E, D, A",Zinc,General nutrition,Old age,"Asthma, Tuberculosis"
"Fast foods, scrambled, egg",100.0,212.0,12.0,58.0,21.0,"D, C","Calcium, Iron, Magnesium",General nutrition,Adults,Leukemia
"Beef, cooked, subcutaneous fat, imported, New Zealand",100.0,731.0,14.0,49.0,9.0,"B, E, D, C",Zinc,General nutrition,Children,Hypertension
"Soup, ready-to-serve, canned, chunky beef",100.0,66.0,43.0,69.0,4.0,"B, A, D, C",Calcium,General nutrition,All ages,"Ehlers-Danlos Syndrome, Neurofibromatosis, Gout"
"Ostrich, raw, tip trimmed",100.0,114.0,1.0,9.0,23.0,"B, D","Calcium, Magnesium",General nutrition,Old age,"Cystitis, Kidney Disease, Leigh Syndrome"
"Fast Foods, tomato and spread, with lettuce, grilled chicken filet sandwich",100.0,182.0,24.0,87.0,0.0,D,"Calcium, Zinc, Magnesium",General nutrition,Children,"Macular Degeneration, Raynaud's Disease, Asthma"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",100.0,123.0,14.0,57.0,9.0,"B, C, A","Calcium, Magnesium",General nutrition,Children,"Pancreatitis, Glycogen Storage Disease"
"Beverages, fortified, prepared with 1% milk, chocolate malt powder",100.0,57.0,37.0,37.0,20.0,"C, B, A",Calcium,General nutrition,Old age,"Wilson's Disease, Chronic Pain, Hemophilia"
"SUNSHINE, Original Crackers, CHEEZ-IT",100.0,507.0,16.0,88.0,5.0,"D, A, E, C","Zinc, Iron, Calcium",General nutrition,Children,"Post-Traumatic Stress Disorder (PTSD), Hemophilia"
"Spinach, without salt, drained, boiled, cooked, chopped or leaf, frozen",100.0,34.0,20.0,63.0,12.0,"E, D, C",Iron,General nutrition,Adults,Crohn's Disease
"Rolls, oat bran, dinner",100.0,236.0,36.0,37.0,20.0,"B, E, A, D",Iron,General nutrition,All ages,"Lung Cancer, Prader-Willi Syndrome, Cancer"
"Egg rolls, heated, refrigerated, chicken",100.0,197.0,6.0,30.0,0.0,D,"Magnesium, Zinc",General nutrition,Adults,"Cataracts, Parkinson's Disease"
"Cereals, dry, Country Bacon flavor, Instant Grits, QUAKER",100.0,340.0,7.0,31.0,11.0,C,"Magnesium, Calcium, Iron","Sustained energy, Digestive health, Blood sugar control",Children,Gout
"Nuts, unpeeled, raw, european, chestnuts",100.0,213.0,7.0,60.0,4.0,B,"Zinc, Calcium","Heart health, Weight management, Brain function",Children,"Psoriasis, Bulimia Nervosa"
"Infant formula, not reconstituted, liquid concentrate, store brand, PBM PRODUCTS",100.0,130.0,24.0,60.0,26.0,"E, A","Iron, Magnesium",General nutrition,Adults,"Mucopolysaccharidosis, Parkinson's Disease, Chronic Pain"
"Gravy, turkey, CAMPBELL'S",100.0,42.0,27.0,37.0,11.0,"C, B","Calcium, Magnesium",General nutrition,All ages,"Marfan Syndrome, Meningitis"
"Beverages, half the caffeine, regular, instant, coffee",100.0,352.0,8.0,2.0,3.0,"C, D, E",Zinc,General nutrition,Adults,
"Potatoes, unprepared, frozen, cross cut, french fried",100.0,193.0,6.0,70.0,27.0,"B, C",Calcium,General nutrition,Old age,"Meningitis, Inflammatory Bowel Disease, Sickle Cell Anemia"
"Fast foods, and sausage, cheese, with egg, english muffin",100.0,286.0,31.0,28.0,8.0,"E, B",Iron,General nutrition,All ages,"Neurofibromatosis, Irritable Bowel Syndrome"
"MOTHER'S, Old Fashioned Iced Oatmeal Cookies",100.0,461.0,18.0,51.0,16.0,"A, B, C, E","Zinc, Magnesium, Calcium",General nutrition,Adults,"Crohn's Disease, Liver Disease, Celiac Disease"
"Frostings, ready-to-eat, coconut-nut",100.0,433.0,47.0,21.0,11.0,"C, D","Magnesium, Iron, Zinc",General nutrition,All ages,"Asthma, Anxiety, Hyperthyroidism"
Omo Tuo (Rice Balls) with Groundnut Soup,100.0,450.0,18.0,55.0,18.0,E,Calcium,High protein,rich in vitamins,General
"Pork loin, lean only, cooked-roasted, bone-in, backribs, fresh",100.0,255.0,41.0,31.0,6.0,"E, C","Zinc, Magnesium",General nutrition,All ages,Gallstones
"Sapote, raw, mamey",100.0,124.0,29.0,69.0,27.0,E,Zinc,General nutrition,Children,"Zellweger Spectrum Disorder, Crohn's Disease, Tuberculosis"
"KEEBLER, Mini Chocolate Chip Cookies, CHIPS DELUXE",100.0,498.0,20.0,71.0,27.0,E,Zinc,General nutrition,All ages,"Diabetes, Neurofibromatosis"
"Fish, dry heat, cooked, walleye, pike",100.0,119.0,29.0,4.0,27.0,"A, E, C, B",Magnesium,"Brain development, Joint health, Mood improvement",Old age,Lung Cancer
"MORNINGSTAR FARMS Corn Dog Mini, unprepared, frozen",100.0,219.0,4.0,27.0,7.0,A,Calcium,General nutrition,All ages,"Myeloma, Ulcerative Colitis"
"Beef, raw, separable lean and fat, hind shin, imported, New Zealand",100.0,147.0,21.0,44.0,26.0,"B, A, E, C",Magnesium,General nutrition,Adults,"Hyperthyroidism, Addison's Disease"
"Cereals, dry, Whole Wheat Natural Cereal, QUAKER",100.0,333.0,29.0,14.0,15.0,"A, E, B, D",Zinc,"Sustained energy, Digestive health, Blood sugar control",Old age,"Eczema, Lymphoma, Leukemia"
"Candies, ALMOND JOY BITES, HERSHEY'S",100.0,563.0,44.0,11.0,3.0,"B, A",Zinc,General nutrition,Old age,"Lactose Intolerance, Leigh Syndrome, Depression"
"Turkey from whole, simmered, cooked, meat only, neck",100.0,162.0,27.0,98.0,8.0,"C, B","Zinc, Iron, Calcium",General nutrition,Old age,"Raynaud's Disease, Pelvic Inflammatory Disease, Sjogren's Syndrome"
"Wild rice, raw",100.0,357.0,42.0,21.0,1.0,D,"Iron, Zinc",General nutrition,Adults,"Autism Spectrum Disorder, Celiac Disease, Cystic Fibrosis"
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, flat half, brisket",100.0,221.0,36.0,65.0,26.0,A,"Zinc, Magnesium, Calcium",General nutrition,Adults,Arthritis
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, lip off, boneless, rib eye steak",100.0,285.0,40.0,2.0,15.0,"E, C",Magnesium,General nutrition,Adults,Parkinson's Disease
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",100.0,166.0,43.0,34.0,9.0,"E, C","Calcium, Zinc, Magnesium",General nutrition,Old age,"Mucopolysaccharidosis, Leigh Syndrome"
"Pork, cooked, separable lean only, composite of trimmed retail cuts (loin and shoulder blade), fresh",100.0,211.0,4.0,55.0,11.0,"C, D, E",Calcium,General nutrition,Adults,"Scleroderma, Malnutrition, Leukemia"
"Turkey, roasted, cooked, meat and skin, breast, all classes",100.0,189.0,4.0,92.0,13.0,"B, A, C, D",Zinc,General nutrition,Children,"Binge Eating Disorder, Asthma"
"MURRAY, Vanilla Creme Sandwich Cookies",100.0,477.0,49.0,41.0,28.0,"C, E, B, D",Iron,General nutrition,Children,"Breast Cancer, Epilepsy"
"Infant formula, ready-to-feed, with iron, ENFAMIL, MEAD JOHNSON",100.0,63.0,36.0,65.0,21.0,"D, C, E","Magnesium, Calcium, Iron",General nutrition,Adults,"Raynaud's Disease, Fabry Disease, Crohn's Disease"
"Gravy, mix, dry, onion",100.0,322.0,2.0,26.0,27.0,"A, B, E, D","Zinc, Calcium, Magnesium",General nutrition,Old age,"Multiple Sclerosis, Asthma"
"Candies, with almonds, nougat",100.0,398.0,49.0,66.0,12.0,"E, D, B, A","Zinc, Calcium, Iron",General nutrition,Old age,"Ulcerative Colitis, Parkinson's Disease, Thalassemia"
"Danish pastry, cheese",100.0,374.0,25.0,7.0,24.0,"A, C, E, B",Magnesium,General nutrition,Children,"Macular Degeneration, Raynaud's Disease"
"Chili with beans, microwavable bowls",100.0,100.0,6.0,26.0,10.0,"B, D, E, A","Calcium, Zinc, Magnesium",General nutrition,Adults,"Post-Traumatic Stress Disorder (PTSD), Sepsis"
"Beverages,, 3-2-1 Plan, whey powder, high protein, SLIMFAST Shake Mix, UNILEVER",100.0,368.0,4.0,49.0,24.0,"B, D, E, A","Magnesium, Calcium, Iron",General nutrition,Children,"Hemophilia, Pancreatitis, Glaucoma"
"Lamb, raw, trimmed to 1/8"" fat, separable lean only, bone-in, trotter off, leg, fresh, imported, Australian",100.0,131.0,35.0,23.0,9.0,"C, E",Magnesium,General nutrition,All ages,"Hypothyroidism, Sepsis"
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Multi-grain, KELLOGG",100.0,364.0,27.0,66.0,6.0,"A, B, D, E","Calcium, Magnesium, Zinc","Sustained energy, Digestive health, Blood sugar control",Old age,Depression
"KELLOGG'S, Garlic and Herb Crackers, ALL-BRAN",100.0,467.0,5.0,94.0,9.0,"A, D","Iron, Zinc, Calcium",General nutrition,Adults,"Sleep Apnea, Addison's Disease, Hypertension"
"Tofu, prepared with nigari, extra firm",100.0,83.0,34.0,90.0,0.0,"A, C, D","Magnesium, Calcium",General nutrition,Old age,"Sickle Cell Anemia, Tuberculosis, Gout"
"Oil, typical basis for ice cream coatings, confection fat, coconut, industrial",100.0,884.0,39.0,15.0,7.0,"B, C, D, E","Zinc, Calcium",General nutrition,Adults,"Pelvic Inflammatory Disease, Cystitis"
"Brussels sprouts, with salt, drained, boiled, cooked",100.0,36.0,19.0,74.0,25.0,"A, C, D, B",Magnesium,General nutrition,Adults,Endometriosis
"OSCAR MAYER, Smokies Sausage Little Cheese (pork, turkey)",100.0,315.0,17.0,74.0,29.0,B,Zinc,General nutrition,Children,"Fibromyalgia, Psoriasis"
Gboma Detsi,100.0,100.0,5.0,12.0,4.0,E,Magnesium,Rich in vitamins and minerals,General,Anemia prevention
"Pork, broiled, cooked, separable lean only, boneless, top loin (chops), loin, fresh",100.0,173.0,13.0,55.0,24.0,"B, D","Calcium, Magnesium",General nutrition,Children,Celiac Disease
"Candies, sweet chocolate coated fondant",100.0,366.0,38.0,13.0,28.0,"D, E",Magnesium,General nutrition,Adults,Systemic Lupus Erythematosus
"Infant formula, ready-to-feed, PROTECT PLUS, GOOD START 2, GERBER",100.0,66.0,34.0,61.0,5.0,"B, A, E, D","Magnesium, Calcium, Zinc",General nutrition,Children,"Leukemia, None, Phenylketonuria"
"Cereals, Dry, Quick Oats with Iron, QUAKER",100.0,371.0,17.0,45.0,26.0,"B, D, C, A",Magnesium,"Sustained energy, Digestive health, Blood sugar control",Adults,Bipolar Disorder
"Pasta, dry, remaining enriched semolina, 51% whole wheat, whole grain",100.0,361.0,25.0,5.0,14.0,B,Magnesium,General nutrition,Adults,"Thalassemia, Wilson's Disease"
"Pie, prepared from recipe, lemon meringue",100.0,285.0,18.0,29.0,10.0,"C, A, B","Magnesium, Iron",General nutrition,Adults,"Leigh Syndrome, Binge Eating Disorder"
